,x,y,width,height,frame_num,cls
2,443,191,18,15,75,Person
3,163,181,25,19,75,Person
4,375,152,15,15,75,Person
0,480,422,16,17,76,Person
1,239,344,16,18,76,Person
2,443,191,18,15,76,Person
3,163,181,25,19,76,Person
4,375,152,15,15,76,Person
0,480,421,16,18,77,Person
1,238,344,17,18,77,Person
2,446,191,16,16,77,Person
3,163,181,25,19,77,Person
4,375,152,15,15,77,Person
0,480,421,16,18,78,Person
1,238,344,17,18,78,Person
2,163,181,25,19,78,Person
3,375,152,15,15,78,Person
0,480,421,16,18,79,Person
1,238,344,17,18,79,Person
2,444,191,15,15,79,Car
3,163,181,25,19,79,Person
4,375,152,16,15,79,Person
0,480,421,16,18,80,Person
1,238,345,17,18,80,Person
2,448,192,15,15,80,Person
3,163,181,25,19,80,Person
4,375,152,15,15,80,Person
0,480,421,16,18,81,Person
1,238,345,17,18,81,Person
2,445,192,18,15,81,Person
3,163,181,25,19,81,Person
4,375,152,15,15,81,Person
0,479,421,17,18,82,Person
1,238,345,17,18,82,Person
2,448,192,16,16,82,Person
3,163,181,24,19,82,Person
4,375,152,15,15,82,Person
0,479,420,17,19,83,Person
1,238,346,17,18,83,Person
2,170,184,17,16,83,Person
3,375,152,15,15,83,Person
0,479,420,17,19,84,Person
1,238,346,17,18,84,Person
2,447,192,18,16,84,Person
3,170,184,17,16,84,Person
4,373,151,15,15,84,Person
0,479,420,17,19,85,Person
1,238,346,16,18,85,Person
2,447,192,18,16,85,Person
3,170,184,17,16,85,Person
0,479,420,17,19,86,Person
1,238,346,16,18,86,Person
2,447,192,18,16,86,Person
3,170,184,17,16,86,Person
0,479,420,17,18,87,Person
1,237,346,17,19,87,Person
2,449,193,17,16,87,Person
3,170,184,17,16,87,Person
0,479,420,17,18,88,Person
1,237,347,17,18,88,Person
2,448,193,15,15,88,Person
3,170,184,17,16,88,Car
0,479,419,16,19,89,Person
1,237,347,17,18,89,Person
2,448,193,19,16,89,Person
3,169,184,18,16,89,Car
4,371,150,15,15,89,Person
0,478,419,17,19,90,Person
1,237,347,16,19,90,Person
2,0,336,8,15,90,Car
3,449,193,18,16,90,Person
4,169,184,18,16,90,Car
5,371,150,15,15,90,Person
0,478,419,17,19,91,Person
1,236,347,17,19,91,Person
2,448,193,19,16,91,Person
3,169,183,17,17,91,Person
4,371,150,15,15,91,Person
0,478,419,17,19,92,Person
1,236,348,17,18,92,Person
2,449,194,18,16,92,Person
3,169,183,17,17,92,Person
4,371,150,15,15,92,Person
0,478,419,17,18,93,Person
1,236,348,17,18,93,Person
2,451,194,17,16,93,Person
3,169,183,18,17,93,Car
4,371,150,15,15,93,Person
0,478,419,17,18,94,Person
1,236,348,17,19,94,Person
2,169,183,18,17,94,Car
0,478,419,17,18,95,Person
1,236,349,16,18,95,Person
2,450,194,19,16,95,Person
3,169,183,18,17,95,Car
0,477,418,17,19,96,Person
1,235,349,17,18,96,Person
2,451,195,18,15,96,Person
3,169,183,18,17,96,Car
4,228,129,15,15,96,Person
