,x,y,width,height,frame_num,cls
10,219,0,17,8,146,Car
0,327,307,16,18,147,Person
1,141,256,16,15,147,Car
2,571,253,15,15,147,Person
3,163,224,15,15,147,Car
4,538,221,20,18,147,Car
5,468,180,26,19,147,Car
6,335,174,15,15,147,Person
7,425,144,20,17,147,Person
8,0,22,8,15,147,Car
9,590,0,15,8,147,Car
10,249,0,15,8,147,Car
11,221,0,15,8,147,Car
0,327,307,16,18,148,Person
1,142,256,15,15,148,Car
2,163,224,15,15,148,Car
3,538,221,20,18,148,Car
4,468,180,26,19,148,Background
5,273,179,15,15,148,Car
6,430,146,15,15,148,Person
7,590,0,15,8,148,Car
8,249,0,15,8,148,Car
9,221,0,15,8,148,Car
0,327,307,16,18,149,Person
1,163,224,15,15,149,Car
2,538,221,20,18,149,Car
3,296,203,15,15,149,Person
4,468,180,26,19,149,Background
5,273,179,15,15,149,Car
6,335,170,17,19,149,Person
7,430,146,15,15,149,Person
8,590,0,15,8,149,Car
9,249,0,15,8,149,Car
10,221,0,15,8,149,Car
0,327,306,16,19,150,Person
1,571,253,15,15,150,Person
2,538,221,22,18,150,Car
3,468,180,26,19,150,Car
4,335,170,17,19,150,Person
5,430,146,20,16,150,Person
6,590,0,15,8,150,Car
7,249,0,15,8,150,Car
8,221,0,15,8,150,Car
0,327,309,15,16,151,Person
1,571,253,15,15,151,Person
2,538,221,22,18,151,Car
3,468,174,26,25,151,Car
4,335,174,15,15,151,Person
5,430,146,20,16,151,Car
6,590,0,15,8,151,Car
7,249,0,15,8,151,Car
8,221,0,15,8,151,Car
0,327,309,15,16,152,Person
1,18,273,16,15,152,Background
2,571,253,15,15,152,Person
3,538,221,21,18,152,Car
4,478,184,16,15,152,Person
5,335,174,15,15,152,Person
6,430,146,20,16,152,Car
7,590,0,15,8,152,Car
8,249,0,15,8,152,Car
9,221,0,15,8,152,Car
0,327,309,15,16,153,Person
1,19,273,15,15,153,Background
2,571,253,19,18,153,Person
3,538,221,15,15,153,Car
4,292,201,15,15,153,Car
5,468,174,26,25,153,Car
6,335,174,15,15,153,Person
7,425,144,25,18,153,Background
8,590,0,15,8,153,Car
9,249,0,15,8,153,Car
10,221,0,15,8,153,Car
0,327,309,15,16,154,Person
1,571,253,19,18,154,Person
2,538,221,15,15,154,Car
3,292,201,19,17,154,Car
4,468,174,26,25,154,Car
5,322,170,28,19,154,Background
6,425,144,25,18,154,Background
7,249,0,15,8,154,Car
8,221,0,15,8,154,Car
0,327,309,15,16,155,Person
1,571,253,19,18,155,Person
2,292,201,19,17,155,Car
3,319,194,15,15,155,Person
4,416,181,15,15,155,Person
5,468,174,26,25,155,Car
6,322,170,28,19,155,Background
7,425,144,25,18,155,Car
8,249,0,15,8,155,Car
9,220,0,16,8,155,Car
0,327,309,15,16,156,Person
1,575,256,15,15,156,Person
2,292,201,15,15,156,Car
3,530,182,15,15,156,Car
4,416,181,15,15,156,Person
5,468,174,26,25,156,Background
6,335,174,15,15,156,Person
7,425,144,25,18,156,Background
8,249,0,15,8,156,Car
9,220,0,16,8,156,Car
0,327,307,15,18,157,Person
1,571,253,19,18,157,Person
2,121,229,15,15,157,Person
3,292,201,15,15,157,Car
4,530,182,15,15,157,Car
5,416,181,15,15,157,Person
6,470,174,24,25,157,Car
7,425,144,25,18,157,Background
8,249,0,15,8,157,Car
9,220,0,16,8,157,Car
0,327,309,15,16,158,Person
1,575,256,15,15,158,Person
2,150,254,15,15,158,Car
3,542,225,15,15,158,Car
4,292,201,15,15,158,Car
5,319,194,15,15,158,Person
6,530,182,16,15,158,Car
7,416,181,15,15,158,Person
8,470,174,24,25,158,Car
9,430,146,20,16,158,Car
10,249,0,15,8,158,Car
11,221,0,16,8,158,Car
0,327,310,15,15,159,Person
1,575,256,15,15,159,Person
2,150,254,15,15,159,Car
3,531,222,15,15,159,Car
4,292,201,15,15,159,Car
5,319,194,15,15,159,Person
6,478,184,16,15,159,Person
7,416,181,15,15,159,Person
8,430,146,20,16,159,Car
9,249,0,15,8,159,Car
10,221,0,15,8,159,Car
0,327,310,15,15,160,Person
1,18,273,16,15,160,Background
2,575,256,15,15,160,Person
3,150,254,15,15,160,Car
4,531,222,26,18,160,Car
5,292,201,15,15,160,Car
6,478,184,16,15,160,Person
7,416,181,15,15,160,Person
8,430,146,20,16,160,Car
9,249,0,15,8,160,Car
10,220,0,17,8,160,Car
0,315,301,27,24,161,Background
1,19,273,15,15,161,Background
2,575,256,15,15,161,Person
3,359,254,15,15,161,Person
4,150,254,15,15,161,Car
5,531,222,15,15,161,Car
6,292,201,15,15,161,Car
7,319,194,15,15,161,Person
8,478,184,16,15,161,Person
9,416,181,15,15,161,Person
10,430,146,20,16,161,Car
11,249,0,15,8,161,Car
12,221,0,16,8,161,Car
0,315,301,27,24,162,Background
1,19,273,15,15,162,Background
2,575,256,15,15,162,Person
3,359,254,15,15,162,Person
4,150,254,15,15,162,Car
5,531,222,15,15,162,Car
6,292,201,15,15,162,Car
7,479,184,15,15,162,Person
8,416,181,15,15,162,Person
9,430,142,25,20,162,Car
10,249,0,15,8,162,Car
11,221,0,16,8,162,Car
0,315,301,15,15,163,Person
1,19,273,15,15,163,Background
2,575,256,15,15,163,Person
3,150,254,15,15,163,Car
4,359,253,15,16,163,Person
5,121,229,15,15,163,Person
6,531,222,26,18,163,Car
7,292,201,15,15,163,Car
8,319,194,15,15,163,Person
9,479,184,15,15,163,Person
10,425,142,30,20,163,Background
11,249,0,15,8,163,Car
12,221,0,16,8,163,Car
0,315,301,15,15,164,Person
1,575,256,15,15,164,Person
2,150,254,15,15,164,Car
3,359,253,15,16,164,Person
4,121,229,15,15,164,Person
5,531,222,26,18,164,Car
6,292,201,15,15,164,Car
7,319,194,15,15,164,Person
8,430,142,25,20,164,Car
9,249,0,15,8,164,Car
10,221,0,16,8,164,Car
0,315,301,15,15,165,Person
1,575,256,15,15,165,Person
2,150,254,15,15,165,Car
3,359,253,15,16,165,Person
4,531,222,26,18,165,Car
5,292,201,15,15,165,Car
6,319,194,15,15,165,Person
7,325,169,15,15,165,Car
8,430,142,25,20,165,Car
9,249,0,15,8,165,Car
10,221,0,16,8,165,Car
0,315,301,15,15,166,Person
1,359,253,15,16,166,Person
2,531,222,26,18,166,Car
3,292,201,15,15,166,Car
4,319,194,15,15,166,Person
5,416,181,15,15,166,Person
6,325,156,22,28,166,Background
7,430,142,25,20,166,Car
8,545,0,15,8,166,Car
9,249,0,15,8,166,Car
10,221,0,16,8,166,Car
0,315,301,26,22,167,Person
1,359,253,15,16,167,Person
2,531,212,26,28,167,Car
3,292,201,15,15,167,Car
4,530,182,16,15,167,Car
5,416,181,15,15,167,Person
6,319,169,21,40,167,Background
7,430,142,25,20,167,Car
8,545,0,15,8,167,Car
9,249,0,15,8,167,Car
10,221,0,16,8,167,Car
0,315,301,26,22,168,Person
1,359,253,15,16,168,Person
2,531,212,26,28,168,Car
3,319,194,15,15,168,Person
4,530,182,16,15,168,Car
5,416,181,15,15,168,Person
6,325,169,15,15,168,Person
7,430,142,25,20,168,Car
8,544,0,16,8,168,Car
9,249,0,15,8,168,Car
10,221,0,16,8,168,Car
0,315,301,26,22,169,Person
1,359,253,15,15,169,Person
2,531,212,26,28,169,Car
3,286,197,15,15,169,Person
4,319,194,15,15,169,Person
5,530,182,16,15,169,Car
6,440,142,15,15,169,Car
7,544,0,16,8,169,Car
8,249,0,15,8,169,Car
9,221,0,16,8,169,Car
0,315,301,26,22,170,Background
1,359,253,15,15,170,Person
2,531,212,26,28,170,Car
3,286,197,15,15,170,Person
4,319,194,15,15,170,Person
5,530,182,16,15,170,Car
6,440,142,15,15,170,Car
7,544,0,16,8,170,Car
8,249,0,15,8,170,Car
9,221,0,16,8,170,Car
0,315,301,26,22,171,Person
1,359,253,15,15,171,Person
2,531,222,26,18,171,Car
3,286,197,15,15,171,Person
4,319,194,15,15,171,Person
5,530,182,16,15,171,Car
6,416,181,15,15,171,Person
7,440,142,15,15,171,Car
8,544,0,16,8,171,Car
9,249,0,15,8,171,Car
10,221,0,16,8,171,Car
0,316,301,25,25,172,Person
1,531,222,26,18,172,Car
2,286,197,15,15,172,Person
3,319,194,15,15,172,Person
4,416,181,15,15,172,Person
5,440,142,15,15,172,Car
6,544,0,31,8,172,Car
7,221,0,16,8,172,Car
0,316,301,15,15,173,Person
1,531,222,26,18,173,Car
2,286,197,15,15,173,Person
3,319,194,15,15,173,Person
4,416,181,15,15,173,Person
5,430,147,15,15,173,Person
6,544,0,31,8,173,Car
7,221,0,15,8,173,Car
0,316,301,15,15,174,Person
1,531,222,26,18,174,Car
2,286,197,15,15,174,Person
3,319,194,15,15,174,Person
4,416,181,15,15,174,Person
5,430,147,15,15,174,Person
6,544,0,31,8,174,Car
7,221,0,15,8,174,Car
0,316,301,15,19,175,Person
1,188,224,15,15,175,Car
2,531,222,26,18,175,Car
3,281,197,20,26,175,Background
4,319,194,15,15,175,Person
5,416,181,15,15,175,Person
6,544,0,31,8,175,Car
7,221,0,15,8,175,Car
0,316,301,15,19,176,Person
1,123,238,15,15,176,Car
2,188,224,15,15,176,Car
3,531,222,27,18,176,Car
4,286,197,15,15,176,Person
5,319,194,15,15,176,Person
6,530,182,15,15,176,Car
7,416,181,15,15,176,Person
8,544,0,31,8,176,Car
0,316,301,15,19,177,Person
1,123,238,15,15,177,Car
2,188,224,15,15,177,Car
3,531,222,27,18,177,Car
4,281,197,20,26,177,Background
5,319,194,15,15,177,Person
6,530,182,15,15,177,Car
7,416,181,15,15,177,Person
8,544,0,31,8,177,Car
0,316,301,16,19,178,Person
1,123,238,15,15,178,Car
2,531,222,27,18,178,Car
3,281,208,16,15,178,Car
4,319,194,15,15,178,Person
5,416,181,15,15,178,Person
6,544,0,31,8,178,Car
7,274,0,16,8,178,Car
0,316,301,16,19,179,Person
1,123,238,15,15,179,Car
2,531,222,27,18,179,Car
3,281,208,16,15,179,Car
4,416,181,15,15,179,Person
5,325,169,15,15,179,Person
6,560,0,15,8,179,Car
7,274,0,16,8,179,Car
0,316,301,16,19,180,Person
1,123,238,15,15,180,Car
2,531,222,27,18,180,Car
3,281,208,16,15,180,Car
4,416,181,15,15,180,Person
5,488,174,15,15,180,Person
6,430,147,15,15,180,Person
7,560,0,15,8,180,Car
0,316,301,17,19,181,Person
1,538,222,20,18,181,Car
2,281,208,16,15,181,Car
3,416,181,15,15,181,Person
4,430,147,15,15,181,Person
5,544,0,31,8,181,Car
0,316,301,17,19,182,Person
1,538,222,20,18,182,Car
2,281,197,20,26,182,Background
3,544,0,31,8,182,Car
0,317,302,16,16,183,Person
1,538,222,20,18,183,Car
2,544,0,31,8,183,Car
0,318,302,15,15,184,Person
1,538,222,20,18,184,Car
2,544,0,31,8,184,Car
0,538,222,20,18,185,Car
1,182,219,15,15,185,Car
2,480,101,15,15,185,Person
3,544,0,31,8,185,Car
0,318,301,15,15,186,Person
1,538,222,15,15,186,Car
2,182,219,15,15,186,Car
3,480,101,15,15,186,Person
4,544,0,31,8,186,Car
0,318,301,15,15,187,Person
1,538,222,15,15,187,Car
2,480,101,15,15,187,Person
3,544,0,31,8,187,Car
0,318,301,15,15,188,Person
1,538,222,15,15,188,Car
2,480,101,15,15,188,Person
3,544,0,31,8,188,Car
0,318,301,15,15,189,Person
1,480,101,15,15,189,Person
2,544,0,31,8,189,Car
0,318,301,15,15,190,Person
1,338,171,15,15,190,Person
2,480,101,15,15,190,Person
3,544,0,31,8,190,Car
0,318,301,15,16,191,Person
1,338,171,15,15,191,Person
2,480,101,15,15,191,Person
3,544,0,31,8,191,Car
0,318,301,15,18,192,Person
1,338,171,15,15,192,Person
2,480,101,15,15,192,Person
3,544,0,31,8,192,Car
0,318,301,15,18,193,Person
1,480,101,15,15,193,Person
2,544,0,31,8,193,Car
0,318,302,15,17,194,Person
1,480,101,15,15,194,Person
2,544,0,31,8,194,Car
0,318,302,15,17,195,Person
1,480,101,15,15,195,Person
2,544,0,31,8,195,Car
0,318,302,15,17,196,Person
1,338,171,15,15,196,Person
2,480,101,15,15,196,Person
3,544,0,31,8,196,Car
0,318,302,15,16,197,Person
1,338,171,15,15,197,Person
2,480,101,15,15,197,Person
3,544,0,31,8,197,Car
0,283,208,15,15,198,Person
1,338,171,15,15,198,Person
2,480,101,15,15,198,Person
3,544,0,31,8,198,Car
0,319,301,15,15,199,Person
1,338,171,15,15,199,Person
2,480,101,15,15,199,Person
3,544,0,31,8,199,Car
0,319,301,15,15,200,Person
1,338,171,15,15,200,Person
2,480,101,15,15,200,Person
3,544,0,31,8,200,Car
0,319,301,15,15,201,Person
1,338,171,15,15,201,Person
2,480,101,15,15,201,Person
3,560,0,15,8,201,Car
0,319,301,15,15,202,Person
1,480,101,15,15,202,Person
0,319,301,15,15,203,Person
1,480,101,15,15,203,Person
0,319,301,15,18,204,Person
0,319,301,16,15,205,Person
1,557,0,15,8,205,Car
0,319,301,16,15,206,Person
1,557,0,15,8,206,Car
0,320,301,15,15,207,Person
1,557,0,15,8,207,Car
0,320,301,15,15,208,Person
1,557,0,15,8,208,Car
0,320,301,15,15,209,Person
1,557,0,15,8,209,Car
0,320,301,15,15,210,Person
1,557,0,15,8,210,Car
0,320,301,15,15,211,Person
1,557,0,15,8,211,Car
0,320,301,15,15,212,Person
1,557,0,15,8,212,Car
0,557,0,15,8,213,Car
0,557,0,15,8,214,Car
0,557,0,15,8,215,Car
0,557,0,15,8,216,Car
0,321,301,16,19,217,Person
1,557,0,15,8,217,Car
0,321,301,16,19,218,Person
0,321,301,16,18,219,Person
0,321,301,15,18,220,Person
0,321,301,15,18,221,Person
0,322,300,15,15,223,Person
0,322,300,15,15,224,Person
0,322,300,15,15,225,Person
0,322,300,15,15,226,Person
0,322,300,15,15,227,Person
0,322,300,15,16,228,Person
